customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1328-EUZHC,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),80.63,645.04,No
3352-RICWQ,Male,0,No,No,32,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),29.86,955.52,No
0020-JDNXP,Male,0,Yes,No,47,Yes,No,DSL,No,No,No,No,No,No internet service,Two year,No,Mailed check,96.19,4520.93,No
7129-AZJDE,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),43.42,2388.1,No
2234-EOFPT,Male,0,Yes,No,24,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),86.39,2073.36,Yes
3429-IFLEM,Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,66.83,0.0,No
1346-UFHAX,Female,0,No,Yes,42,Yes,No,No,No,No,No,No,No internet service,No,Two year,No,Electronic check,89.95,3777.9,No
2507-QZPQS,Female,0,No,Yes,28,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No,One year,Yes,Mailed check,105.52,2954.56,Yes
4488-PSYCG,Female,0,Yes,No,42,Yes,No,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,80.37,3375.54,No
0378-CJKPV,Female,0,No,No,36,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,48.16,1733.76,Yes
6168-YBYNP,Male,0,Yes,No,49,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),53.23,2608.27,No
1215-VFYVK,Female,0,No,Yes,48,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),79.77,3828.96,Yes
3799-ISUZQ,Female,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,50.17,2659.01,No
4353-HYOJD,Female,0,Yes,No,21,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.18,1074.78,No
6128-DAFVY,Female,0,Yes,No,56,No,No,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,59.14,3311.84,No
3536-IQCTX,Male,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,51.95,1039.0,No
3284-SVCRO,Male,0,No,No,34,Yes,Yes,No,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),78.56,2671.04,No
0239-OXEXL,Male,0,No,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,49.17,3540.24,Yes
8069-YQQAJ,Female,0,No,No,41,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,65.59,2689.19,Yes
8785-EPNCG,Female,0,Yes,No,3,Yes,No,DSL,No internet service,No,No,No,Yes,No,One year,Yes,Electronic check,40.73,122.19,No
7861-UVUFT,Male,0,No,Yes,68,No,Yes,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,18.25,1241.0,Yes
1323-OOEPC,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),86.8,4860.8,No
6194-HBGQN,Male,0,No,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No,Two year,Yes,Electronic check,92.24,5534.4,No
1730-VFMWO,Female,0,No,No,37,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),47.74,1766.38,No
5423-BHIXO,Male,0,Yes,No,40,Yes,No,No,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,87.06,3482.4,No
9136-ALYBR,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),72.19,1876.94,No
2612-PHGOX,Male,0,No,Yes,15,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.87,418.05,No
6176-YJWAS,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),98.49,6795.81,No
2954-PIBKO,Female,0,Yes,Yes,23,Yes,No phone service,No,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),18.25,419.75,Yes
3063-QFSZL,Male,0,No,No,20,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),61.25,1225.0,No
