CustServCalls,RoamMins,Recommendations,DataUsage,MonthlyCharge,Churn_Probability,Churn_Signals,AccountWeeks,DayCalls
1,10.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.7,89.0,0.0045617884288001,high_cost: High charges in MonthlyCharge,128,110
1,13.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.7,82.0,0.0487093739482653,high_cost: High charges in MonthlyCharge,107,123
0,12.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,52.0,0.0296279090155791,low_tenure: New or short-tenure customer,137,114
2,6.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,57.0,0.2506389185027244,low_tenure: New or short-tenure customer,84,71
3,10.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,41.0,0.1646008586936736,low_tenure: New or short-tenure customer,75,113
0,6.3,No action needed,0.0,57.0,0.1002421497352734,None detected,118,98
3,7.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.03,87.3,0.044590366719294,high_cost: High charges in MonthlyCharge,121,88
0,7.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,36.0,0.1343710699932409,low_tenure: New or short-tenure customer,147,79
1,8.7,No action needed,0.19,63.9,0.3415605644138568,None detected,117,97
0,11.2,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.02,93.2,0.0917824063914301,high_cost: High charges in MonthlyCharge,141,84
4,12.7,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.29,44.9,0.8895372764490412,high_churn_probability: Model predicts high likelihood of churn,65,137
0,9.1,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.34,49.4,0.0106972198493867,low_tenure: New or short-tenure customer,74,127
1,11.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,31.0,0.0145543146255005,low_tenure: New or short-tenure customer,168,96
3,12.3,No action needed,0.44,52.4,0.0162857629329226,None detected,95,88
4,13.1,No action needed,0.0,47.0,0.2887438621461721,None detected,62,70
4,5.4,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,0.0,84.0,0.8841468253968253,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,161,67
1,13.8,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.73,95.3,0.0328856529094397,high_cost: High charges in MonthlyCharge,85,139
3,8.1,No action needed,0.0,51.0,0.0218677050740124,None detected,93,114
1,10.0,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.7,78.0,0.0106634399550812,high_cost: High charges in MonthlyCharge,76,66
1,13.0,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,52.0,0.0279846558641337,low_tenure: New or short-tenure customer,73,90
0,10.6,No action needed,0.31,50.1,0.0174623491810469,None detected,147,117
5,5.7,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,26.0,0.9425196446627184,high_churn_probability: Model predicts high likelihood of churn,77,89
0,9.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,38.0,0.0101270615799681,low_tenure: New or short-tenure customer,130,112
2,7.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.39,34.9,0.0436629989562496,low_tenure: New or short-tenure customer,111,103
0,10.3,No action needed,0.0,35.0,0.0417440571568475,None detected,132,86
3,15.5,No action needed,0.0,45.0,0.0270362574068344,None detected,174,76
0,9.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.57,78.7,0.0184453148586713,high_cost: High charges in MonthlyCharge,57,115
3,14.7,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,37.0,0.0346910046789214,low_tenure: New or short-tenure customer,54,73
0,6.3,No action needed,0.32,58.2,0.0141981451646529,None detected,20,109
1,11.1,No action needed,0.21,41.1,0.0184272194216739,None detected,49,117
2,14.2,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,27.0,0.0265994005679863,low_tenure: New or short-tenure customer,142,95
1,10.3,No action needed,0.0,56.0,0.0493673048763916,None detected,75,105
3,12.6,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints,0.0,39.0,0.0114046061773447,low_tenure: New or short-tenure customer,172,121
1,11.8,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach,0.0,64.0,0.8872862955095454,high_churn_probability: Model predicts high likelihood of churn,12,118
0,8.3,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.24,69.4,0.0158402818247222,high_cost: High charges in MonthlyCharge,57,94
3,14.7,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,3.97,95.7,0.0481307634641505,high_cost: High charges in MonthlyCharge,72,80
0,14.5,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities,3.92,78.2,0.0165050689289972,high_cost: High charges in MonthlyCharge; low_tenure: New or short-tenure customer,36,128
1,10.0,No action needed,0.0,42.0,0.0188025509236428,None detected,78,64
3,10.5,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%,2.84,79.4,0.2243281341734588,high_cost: High charges in MonthlyCharge,136,106
1,11.1,No action needed,0.0,47.0,0.0163478515418373,None detected,149,94
3,9.4,No action needed,0.3,39.0,0.0147849585828743,None detected,98,102
0,14.6,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities,3.94,86.4,0.9674230769230768,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,135,85
2,10.0,No action needed,0.0,46.0,0.012996008230171,None detected,34,82
