Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn_Probability,Churn_Prediction,Risk_Level,Churn_Signals,Recommendations
0,128,1,1,2.7,1,265.1,110,89.0,9.87,10.0,0.004561788428800174,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,107,1,1,3.7,1,161.6,123,82.0,9.78,13.7,0.04870937394826536,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,137,1,0,0.0,0,243.4,114,52.0,6.06,12.2,0.02962790901557919,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,84,0,0,0.0,2,299.4,71,57.0,3.1,6.6,0.25063891850272446,0,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,75,0,0,0.0,3,166.7,113,41.0,7.42,10.1,0.16460085869367366,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,118,0,0,0.0,0,223.4,98,57.0,11.03,6.3,0.10024214973527347,0,low,None detected,No action needed
0,121,1,1,2.03,3,218.2,88,87.3,17.43,7.5,0.04459036671929405,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,147,0,0,0.0,0,157.0,79,36.0,5.16,7.1,0.1343710699932409,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,117,1,0,0.19,1,184.5,97,63.9,17.58,8.7,0.34156056441385685,0,medium,None detected,No action needed
0,141,0,1,3.02,0,258.6,84,93.2,11.1,11.2,0.0917824063914301,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
1,65,1,0,0.29,4,129.1,137,44.9,11.43,12.7,0.8895372764490412,1,critical,high_churn_probability: Model predicts high likelihood of churn,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
0,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1,0.010697219849386794,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,168,1,0,0.0,1,128.8,96,31.0,5.25,11.2,0.014554314625500536,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3,0.0162857629329226,0,low,None detected,No action needed
0,62,1,0,0.0,4,120.7,70,47.0,15.36,13.1,0.2887438621461721,0,medium,None detected,No action needed
1,161,1,0,0.0,4,332.9,67,84.0,15.89,5.4,0.8841468253968253,1,critical,high_churn_probability: Model predicts high likelihood of churn; high_cost: High charges in MonthlyCharge,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach; [MEDIUM] Review pricing plan for optimization opportunities
0,85,1,1,3.73,1,196.4,139,95.3,14.05,13.8,0.0328856529094397,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,93,1,0,0.0,3,190.7,114,51.0,10.91,8.1,0.02186770507401245,0,low,None detected,No action needed
0,76,1,1,2.7,1,189.7,66,78.0,10.64,10.0,0.010663439955081266,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,73,1,0,0.0,1,224.4,90,52.0,7.98,13.0,0.027984655864133727,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,147,1,0,0.31,0,155.1,117,50.1,11.99,10.6,0.01746234918104691,0,low,None detected,No action needed
1,77,1,0,0.0,5,62.4,89,26.0,8.5,5.7,0.9425196446627184,1,critical,high_churn_probability: Model predicts high likelihood of churn,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
0,130,1,0,0.0,0,183.0,112,38.0,3.65,9.5,0.01012706157996817,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,111,1,0,0.39,2,110.4,103,34.9,6.87,7.7,0.04366299895624964,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,132,1,0,0.0,0,81.1,86,35.0,12.26,10.3,0.041744057156847536,0,low,None detected,No action needed
0,174,1,0,0.0,3,124.3,76,45.0,13.86,15.5,0.02703625740683442,0,low,None detected,No action needed
0,57,1,1,2.57,0,213.0,115,78.7,9.56,9.5,0.018445314858671364,0,low,high_cost: High charges in MonthlyCharge,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
0,54,1,0,0.0,3,134.3,73,37.0,7.78,14.7,0.03469100467892143,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,20,1,0,0.32,0,190.0,109,58.2,12.91,6.3,0.014198145164652993,0,low,None detected,No action needed
0,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1,0.018427219421673996,0,low,None detected,No action needed
0,142,1,0,0.0,2,84.8,95,27.0,6.84,14.2,0.02659940056798638,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
0,75,1,0,0.0,1,226.1,105,56.0,10.08,10.3,0.04936730487639166,0,low,None detected,No action needed
0,172,1,0,0.0,3,212.0,121,39.0,1.56,12.6,0.011404606177344711,0,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8,0.8872862955095454,1,critical,high_churn_probability: Model predicts high likelihood of churn,[URGENT] Immediate attention required - high churn risk; [URGENT] Schedule proactive customer outreach
